Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x3115d898a43d812202a0a445ae8ac8dd778e4b7aa57afaa30b8a4724511bc2ec","Success","Transfer","76860164","2025-09-24 22:15:55","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x5787435b47a2cec1a967b71982731b7a5596ce46ba0ac11991a28c47b7480544","Success","Transfer","76859988","2025-09-24 22:09:39","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xb39999d774d6b6dc4afb34b3e9391ec7b447845a14273b85f89ceb828753cf76","Success","Transfer","76859802","2025-09-24 22:02:31","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xa397f65c87a2fb7eb46a29ab4eb460764ee26cda882b052116830d045d30d76f","Success","Transfer","76859654","2025-09-24 21:57:17","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xf57b02fb3b101b7f1f62a4387ce403d377f9e0014f65dfe23cf69552b45d5e91","Success","Transfer","76859100","2025-09-24 21:37:39","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","103.296571","$0.00","ERC-20: ERC20(ERC20)"
"0x5bf5bc4d5d0692d8786feedb53a8f08c1f69361508029996d45b119445ddb5e1","Success","Transfer","76828731","2025-09-24 03:36:41","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x3ff727d5706c0625ea99f518d17ccf808487de6cf619dd9115eceb550b3c499a","Success","Transfer","76828310","2025-09-24 03:21:47","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x506a87d055293d8378850c856a85e15e13a7400e1f33b11430026a0a33653124","Success","Transfer","76824578","2025-09-24 01:09:15","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x3d01c11047605f156f3fcca5e010166da4d88159baa215801946aa3aed395b75","Success","Transfer","76820603","2025-09-23 22:47:41","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x8b212c4e0176268a0fafc90b4c9b27db4d4a68e532fbd932a0ac201dcb40585f","Success","Transfer","76816321","2025-09-23 20:15:29","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x37051b5885627bc98fcab11c315f191fb9eea13187d5f3b846b2f73b27e39717","Success","Transfer","76798866","2025-09-23 09:56:54","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x76c760d704eefd587d5f9511448d8ae8913e44f4e57c0395bc49ed649439a2d9","Success","Transfer","76798247","2025-09-23 09:34:58","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xd60264a7b655c009f78db4e18a678d6ffaba8ea93c04d7d79276078b1326a590","Success","Transfer","76790691","2025-09-23 05:07:22","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x3149eb1953420f720cfbb1a5d8671b24b7545c3d06351ff457caf41485e35db9","Success","Transfer","76790397","2025-09-23 04:56:56","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x3074cc04907a4049956fa0eb14edaadda9335e3a2c1cfdc712c4f197a05844d1","Success","Transfer","76784201","2025-09-23 01:17:30","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xcb3e7552d77696f1d0bfda4cda065d6263d931b4d99988a9c4632f3fb91f425e","Success","Transfer","76783731","2025-09-23 01:00:52","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xc2c5735707a99c105a6abd14cbaf55a8f8a6e0cce5ea1f4ce592364436b941ab","Success","Transfer","76778629","2025-09-22 22:00:10","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xd707003d3329f5d2d28b216b6bf94a9fa5c495a950a25cea8e22ad14ba21b523","Success","Transfer","76778365","2025-09-22 21:50:48","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x9cd672e9c09e309c8cd15483a4ce1b3c94e19eae9bb871f896cd1cdaca4dcb6c","Success","Transfer","76774311","2025-09-22 19:27:10","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","437.90137236","$0.00","ERC-20: ERC20(ERC20)"
"0x7ab2ce6039ab2ceec1e1943df5a4f889660021e4dcbbcbfcdf2a7e063be1494f","Success","Transfer","76774299","2025-09-22 19:26:44","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0xff20fb036ac1d52f8645ef1b51fe797b301407d6","","153.43961257","$0.00","ERC-20: ERC20(ERC20)"
"0x5063bea90030626208151c8a67d81ec91f6558d462793dfc4db6492a6aa6e976","Success","Transfer","76774286","2025-09-22 19:26:16","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","1,387.867623","$0.00","ERC-20: ERC20(ERC20)"
"0x83c0d33df3f245d37b1caf8644e2d52efc5cd873c106b635ca6fbba50a290b63","Success","Transfer","76774273","2025-09-22 19:25:50","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","2,874.35835802","$0.00","ERC-20: ERC20(ERC20)"
"0x5cde84e2b6da5492247440dee189534e830d7302a4edbbd615227b15e674382a","Success","Transfer","76774258","2025-09-22 19:25:18","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","726.93759674","$0.00","ERC-20: ERC20(ERC20)"
"0x337ade3f073a67227743a1003285b39e5031f9db95de25be94fd8918574fd9ea","Success","Transfer","76766022","2025-09-22 14:33:04","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x863460a2aa5a2593c3d727b65f0268f94e6a71080081a3527e7df615b650d705","Success","Transfer","76760225","2025-09-22 11:06:10","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
